config_name,loss,num_spon_layers,num_spon_params,num_tokens,perplexity,ppl_improvement,ppl_vs_dense,ppl_vs_teal,relative_params,run_id,sparsity,training_loss_final,training_time_seconds
BASELINE-TEAL,3.1179872047244093,0,0,130048,22.600842960603885,0.0,1.0443870080240805,1.0,0.0,run_20260208_065528,0.5,0.0,4.696846008300781e-05
UNIF-ALL,3.108267716535433,16,32768,130048,22.382238417458296,0.967240662335663,1.0342852722103208,0.9903275933766433,1.0,run_20260208_065528,0.5,0.04214481850867742,215.06180667877197
TOP-50,3.109744094488189,8,16384,130048,22.415307465991553,0.8209228962642812,1.0358133959496014,0.9917907710373571,0.5,run_20260208_065528,0.5,0.042716291568649464,214.2044382095337
TOP-75,3.109498031496063,12,24576,130048,22.40979256690116,0.8453241944813706,1.035558551961233,0.9915467580551863,0.75,run_20260208_065528,0.5,0.04223148837700137,214.63857674598694
BOTTOM-50,3.1120816929133857,8,16384,130048,22.46776674389901,0.5888108551386511,1.038237543951177,0.9941118914486134,0.5,run_20260208_065528,0.5,0.04338673168895184,187.43410968780518
ATTN-ONLY,3.079478346456693,16,32768,130048,21.74705500845024,2.0095535085305576,1.0049333891307024,0.9799044649146944,1.0,run_20260208_065528,0.5,0.017251577588831425,214.7307047843933
BASELINE-TEAL,3.175073818897638,0,0,130048,23.92858618503477,0.0,1.1057421431402694,1.0,0.0,run_20260208_065528,0.6,0.0,6.580352783203125e-05
UNIF-ALL,3.15255905511811,16,32768,130048,23.39585933284627,2.2263198003803226,1.081124786866388,0.9777368019961967,1.0,run_20260208_065528,0.6,0.09207643132831436,216.69610905647278
TOP-50,3.154650590551181,8,16384,130048,23.444843810156076,2.021608678164333,1.0833883640164255,0.9797839132183567,0.5,run_20260208_065528,0.6,0.09381519029266201,217.0390181541443
TOP-75,3.1553887795275593,12,24576,130048,23.462156924798638,1.9492554078595892,1.0841884046181252,0.9805074459214042,0.75,run_20260208_065528,0.6,0.09237751795735676,216.7143006324768
BOTTOM-50,3.1619094488188977,8,16384,130048,23.61564577212278,1.3078098743155526,1.0912811382078127,0.9869219012568444,0.5,run_20260208_065528,0.6,0.09630466816597619,190.0900137424469
ATTN-ONLY,3.0858759842519685,16,32768,130048,21.88663079109268,3.7303167359857863,1.011383198736506,0.9626968326401422,1.0,run_20260208_065528,0.6,0.033147668902529404,215.98750615119934
